Patent Number,Title,Abstract
CN - 15.12.2023,"Quantum computing task scheduling method and device of quantum cloud platform, medium and equipment","The invention provides a quantum computing task scheduling method and device of a quantum cloud platform, a medium and equipment. The method comprises the following steps: obtaining a quantum computing resource list from one or more quantum cloud platforms; selecting quantum computing resources for a pre-created quantum computing line from the quantum computing resource list; generating a quantum computing task based on the quantum computing circuit and the quantum computing resource; sending the quantum computing task to a quantum cloud platform to which the quantum computing resource belongs; and obtaining an execution result of the quantum computing task from the quantum cloud platform. By applying the method and the system, a user can be helped to comprehensively manage various quantum computing resources of one or more quantum cloud platforms based on one quantum cloud platform, and the quantum computing tasks can be flexibly scheduled."
CN - 13.08.2024,Quantum computing resource management system and quantum computer,"The invention discloses a quantum computing resource management system and a quantum computer.The system comprises a quantum computing task scheduling module and a quantum computing resource allocation module which are in communication connection, and the quantum computing task scheduling module is used for receiving quantum computing tasks and allocating the quantum computing tasks to the quantum computing resource allocation module; the quantum computing resource management system comprises a quantum computing resource management module used for scheduling a quantum computing task and executing a scheduling strategy corresponding to the scheduling demand according to the scheduling demand of the quantum computing task, and the quantum computing resource allocation module is used for obtaining and locking target quantum computing resources needed by the quantum computing task and releasing the target quantum computing resources when execution of the quantum computing task is completed. The problems of scheduling of multiple quantum computing tasks and multiple quantum processors, allocation of quantum computing resources and priority dynamic adjustment of the quantum computing tasks are solved, and development of the quantum computing technology is effectively promoted."
CN - 17.02.2023,Quantum computer operating system and quantum computer,"The invention discloses a quantum computer operating system and a quantum computer.The quantum computer operating system comprises a quantum computing task receiving module, a quantum computing task priority processing module, a quantum computing task merging module, a quantum chip resource allocation service module and a quantum computing task scheduling and mapping module, the quantum computing task priority processing module divides respective priorities of the quantum computing tasks in the quantum computing task queue according to the depths of the quantum computing tasks, the number of needed quantum bits and the waiting time in the quantum computing task queue, and when quantum chip resources cannot meet the requirement for simultaneous execution of all tasks, the quantum computing tasks in the quantum computing task queue are processed according to the priorities of the quantum computing tasks in the quantum computing task queue. The quantum computing tasks with high priorities are executed preferentially, so that the utilization rate of quantum bits in a quantum chip is improved, and the total waiting time of the quantum computing tasks in a quantum computing task queue is effectively shortened."
CN - 14.06.2024,"Calculation result determination system, method and device and block chain network","The embodiment of the invention provides a calculation result determination system, method and device and a block chain network, and relates to the field of quantum computing, and the calculation result determination system comprises the steps that a quantum computing platform decomposes a quantum computing service, and determines a quantum computing node corresponding to each quantum computing sub-service; constructing a quantum service block chain network corresponding to the quantum computing service, and constructing a quantum computing execution block chain network corresponding to each quantum computing node; each quantum computing node controls the quantum computing execution block chain network to execute quantum computing operation according to the computing instruction sent by the quantum computing adapter; and the quantum computing platform fuses the sub-computing results determined by each quantum computing execution block chain network so as to determine the computing result of the quantum computing business, through the above technology, the problem that in the related technology, for complex quantum computing businesses, execution of the quantum computing businesses fails when a single quantum computer is used for computing, and the computing result of the quantum computing businesses cannot be determined is solved. Or the execution efficiency is low."
CN - 26.12.2023,Quantum computing block chain system,"The invention relates to a quantum computing block chain system, which comprises a plurality of quantum computing block chain nodes, each quantum computing block chain node comprises a block chain protocol module and a quantum computing module, and the block chain protocol module comprises a task submodule used for submitting task information of a quantum computing task to be executed to a quantum computing block chain; the quantum encryption sub-module is used for providing a quantum security encryption function required by signature and information encryption of the quantum computing block chain; the consensus mechanism submodule is used for providing a consensus mechanism; the block management sub-module is used for forming blocks and adding the blocks to the quantum computing block chain; the quantum calculation module comprises a quantum algorithm sub-module used for providing a quantum algorithm; and the quantum computing simulation sub-module is used for providing a quantum computing simulator for a classic computer to simulate a quantum computing environment when the quantum computing block chain node is the classic computer."
US - 02.05.2024,RESOURCE ACCESS DECISION MANAGEMENT IN QUANTUM COMPUTING SYSTEMS,"A quantum computing system receives, from an access granting entity that grants access to a quantum computing resource, a request for information associated with a decision by the access granting entity whether to grant quantum computing resource access to a requesting entity. The quantum computing system obtains quantum validation information, wherein the quantum validation information is descriptive of one or more of characteristics of the requesting entity, characteristics of the quantum computing resource, a current state of a quantum computing device that implements the quantum computing resource, or a predicted state of the quantum computing device associated with access of the quantum computing resource by the requesting entity. The quantum computing system provides the quantum validation information to the access granting entity for the decision whether to grant quantum computing resource access to the requesting entity."
CN - 24.10.2023,"Quantum computing execution method and system, electronic equipment and storage medium","The invention discloses a quantum computing execution method and system, electronic equipment and a storage medium. Quantum computing execution can be safer, computing is optimal, the fault-tolerant capability is higher, data are safer, and computing is more automatic. The method comprises the steps that a quantum computing verification block chain network receives quantum computing tasks, sequential verification is carried out on the quantum computing tasks, and the quantum computing tasks are issued to a quantum computing consensus block chain network after verification is passed; the quantum computing consensus block chain network selects idle quantum computer nodes for voting consensus; if the voting consensus is passed, issuing the quantum computing task to a quantum computing execution block chain network; if the voting consensus is not passed, continuing to select a new idle quantum computer node for voting consensus again; and the quantum computing execution block chain network receives the quantum computing task, triggers an intelligent contract to execute quantum computing, generates a quantum computing result and outputs the quantum computing result to be stored and transmitted on a chain."
CN - 16.10.2020,Modular quantum computer software architecture implementation method and system,"The invention discloses a modular quantum computer software architecture implementation method and system. The system includes: a processor; a quantum computing operation system, a quantum computing instruction set and a quantum processing control module, the quantum processing control module is further in communication connection with one or more quantum computing physical platforms, and the quantum computing operation system receives quantum computing tasks input by a quantum computer user, compiles the quantum computing tasks into instructions in a quantum computing instruction set and sends the instructions to the quantum processing control module through the quantum computing instruction set; and the quantum processing control module is used for analyzing an instruction of the quantumcomputing instruction set into a signal which can be executed by the quantum computing physical platform after receiving the instruction of the quantum computing instruction set, and driving the quantum computing physical platform to perform corresponding operation according to the specific quantum computing physical platform connected at the moment to obtain an output state. The technical problem that existing quantum computing software can only be suitable for a certain specific quantum computer and cannot be transplanted to other quantum computers is solved."
CN - 23.05.2023,"Task scheduling method and system, electronic equipment, quantum cloud system and storage medium","The invention discloses a task scheduling method and system, electronic equipment, a quantum cloud system and a storage medium, and relates to the field of task scheduling, and the task scheduling method comprises the following steps: determining a current quantum computing task from a plurality of quantum computing tasks in a task queue; when the current quantum computing task is executed, determining a next quantum computing task based on the similarity between each residual quantum computing task in the task queue and the current quantum computing task; the residual quantum computing task is any one of the quantum computing tasks except the current quantum computing task in the task queue; and when the execution of the current quantum computing task is completed, executing the next quantum computing task by utilizing the quantum state when the execution of the current quantum computing task is completed. According to the method, the continuation of quantum states can be realized, so that the quantum bits are efficiently multiplexed, quantum computing resources are saved, computing convergence is accelerated, and quantum advantages are fully played."
KR - 23.11.2021,METHOD FOR SERVING CLOUD OF QUANTUM COMPUTING AND COMPUTING DEVICE FOR PERFORMING SAME,"Disclosed are a method for serving cloud of quantum computing and a computing device for performing the same. The method for serving cloud of quantum computing according to one embodiment is a method performed in a computing device having one or more processors and a memory storing one or more programs executed by the one or more processors. The method comprises the steps of: receiving, from a client, a request to perform quantum computing and providing a standard resource description; receiving, from the client, resource-related information corresponding to the standard resource description; providing a standard application program interface (API) to the client, and receiving, from the client, a standard quantum computing code written through the standard API; selecting quantum computing hardware to execute the standard quantum computing code from among a plurality of quantum computing hardware based on one or more of the resource-related information and the standard quantum computing code; converting the standard quantum computing code into a quantum computing code executable on the selected quantum computing hardware; and executing the transformed quantum computing code through the selected quantum computing hardware. The present invention can increase the accessibility and marketability of quantum computing. COPYRIGHT KIPO 2022"
